transaction_date,transaction_barcode,warehouse_name,item_number,description,description2,combined_description,item_unit_price
2023-07-14,21133400900752307141120,BAYONNE,60357,MIXED PEPPER,6-PACK,MIXED PEPPER 6-PACK,7.49
2023-07-14,21133400900752307141120,BAYONNE,1434832,CANDY GRAPE,ORG RED CANDY SNAP GRAPE,CANDY GRAPE ORG RED CANDY SNAP GRAPE,8.99
2023-07-14,21133400900752307141120,BAYONNE,1336632,BEAN SALAD,T8H6  C12  SL28,BEAN SALAD T8H6  C12  SL28,9.89
2023-07-14,21133400900752307141120,BAYONNE,307105,/ 1336632,,,0.0
2023-07-14,21133400900752307141120,BAYONNE,1429597,PINK GRPFRUT,PINK GRAPEFRUIT 12/9.3OZ,PINK GRPFRUT PINK GRAPEFRUIT 12/9.3OZ,15.59
2023-07-14,21133400900752307141120,BAYONNE,703381,CHEDDAR SLCS,T10H5  SL120,CHEDDAR SLCS T10H5  SL120,7.99
2023-07-14,21133400900752307141120,BAYONNE,33666,BEEF RIBEYE,BONELESS USDA CHOICE,BEEF RIBEYE BONELESS USDA CHOICE,13.99
2023-07-14,21133400900752307141120,BAYONNE,1142830,ORG MEDITERR,,,8.49
2023-07-14,21133400900752307141120,BAYONNE,4102,"8"" TORTILLAS",SL10  70OZ,"8"" TORTILLAS SL10  70OZ",5.99
2023-07-14,21133400900752307141120,BAYONNE,1716914,GRLLD CHCKN,CS10 T6H8 SL55,GRLLD CHCKN CS10 T6H8 SL55,9.69
2023-07-14,21133400900752307141120,BAYONNE,21046,TOMATO MEDLE,,,6.69
2023-07-14,21133400900752307141120,BAYONNE,1364689,KS ORG WH MK,3/64 SL30 T33H4 P132,KS ORG WH MK 3/64 SL30 T33H4 P132,12.49
2023-10-27,21133401000832310271144,BAYONNE,21046,TOMATO MEDLE,,,6.59
2023-10-27,21133401000832310271144,BAYONNE,1266604,647 ITALIAN,LOW CARB BREAD,647 ITALIAN LOW CARB BREAD,6.69
2023-10-27,21133401000832310271144,BAYONNE,1364689,KS ORG WH MK,3/64 SL30 T33H4 P132,KS ORG WH MK 3/64 SL30 T33H4 P132,11.99
2023-10-27,21133401000832310271144,BAYONNE,782796,***KSWTR40PK,P48=SE   P56=PR,***KSWTR40PK P48=SE   P56=PR,3.99
2023-10-27,21133401000832310271144,BAYONNE,647465,AVOCADOS,6 COUNT,AVOCADOS 6 COUNT,7.99
2023-10-27,21133401000832310271144,BAYONNE,4102,"8"" TORTILLAS",SL10  70OZ,"8"" TORTILLAS SL10  70OZ",5.99
2023-10-27,21133401000832310271144,BAYONNE,1725186,PACGLDJERKY,16OZ T5H3 P315/T60 SL180,PACGLDJERKY 16OZ T5H3 P315/T60 SL180,15.99
2023-10-27,21133401000832310271144,BAYONNE,30548,ORGANIC DRUM,SADDLEPACK,ORGANIC DRUM SADDLEPACK,1.99
2023-10-27,21133401000832310271144,BAYONNE,1759686,CRNALMDBARK,,,9.99
2023-10-27,21133401000832310271144,BAYONNE,17767,KS COFFEE,1.36K GROUND P252,KS COFFEE 1.36K GROUND P252,12.99
2023-10-27,21133401000832310271144,BAYONNE,2619,ORG BANANAS,3 LB / 1.36 KG,ORG BANANAS 3 LB / 1.36 KG,1.99
2023-10-27,21133401000832310271144,BAYONNE,9929,KS CHIC TORT,2/830ML CNSL50  SL60 10X4,KS CHIC TORT 2/830ML CNSL50  SL60 10X4,8.99
2023-10-27,21133401000832310271144,BAYONNE,8258,ASIAN CASHEW,2PK,ASIAN CASHEW 2PK,6.99
2023-10-27,21133401000832310271144,BAYONNE,48600,TURKEY,1.75 RW    T10H4    SL50,TURKEY 1.75 RW    T10H4    SL50,7.99
2023-10-27,21133401000832310271144,BAYONNE,87745,ROTISSERIE,USDA GRADE A,ROTISSERIE USDA GRADE A,4.99
2023-10-27,21133401000832310271144,BAYONNE,60357,MIXED PEPPER,6-PACK,MIXED PEPPER 6-PACK,6.69
2023-10-27,21133401000832310271144,BAYONNE,568915,ORG CUCUMBER,,,5.99
2023-10-27,21133401000832310271144,BAYONNE,1136340,ORG DIS APPL,GALA,ORG DIS APPL GALA,4.99
2023-10-27,21133401000832310271144,BAYONNE,703381,CHEDDAR SLCS,T10H5  SL120,CHEDDAR SLCS T10H5  SL120,7.99
2023-10-27,21133401000832310271144,BAYONNE,427381,KS ORG EGGS,GRADE AA  P360/300  SL26,KS ORG EGGS GRADE AA  P360/300  SL26,7.49
2023-10-27,21133401000832310271144,BAYONNE,8297,MEX STR CORN,2PK,MEX STR CORN 2PK,7.99
2023-10-27,21133401000832310271144,BAYONNE,18600,MANDARINS,2.27 KG / 5 LBS,MANDARINS 2.27 KG / 5 LBS,6.99
2023-10-27,21133401000832310271144,BAYONNE,1267000,KS SALMON,SL30 CHILEAN SLMN 10X5,KS SALMON SL30 CHILEAN SLMN 10X5,23.99
2023-10-27,21133401000832310271144,BAYONNE,983491,CRUNCHY BUTR,CRUNCHY TX480  P600 SL365,CRUNCHY BUTR CRUNCHY TX480  P600 SL365,14.99
2023-10-27,21133401000832310271144,BAYONNE,57554,BLUEBERRIES,510 G / 18 OZ,BLUEBERRIES 510 G / 18 OZ,8.49
2025-06-28,21133412200162506281126,BAYONNE,992756,PARMESAN,P360  T10H3      SL105,PARMESAN P360  T10H3      SL105,9.59
2025-06-28,21133412200162506281126,BAYONNE,1843108,KS FRZ GAL,DOUBLE ZIPPER 28X3 P84,KS FRZ GAL DOUBLE ZIPPER 28X3 P84,13.99
2025-06-28,21133412200172506281127,BAYONNE,1023251,DRZZPOPCORN,POPCORN 17OZ P180 S270,DRZZPOPCORN POPCORN 17OZ P180 S270,6.99
2025-02-11,21133400902382502111700,BAYONNE,703381,CHEDDAR SLCS,T10H5  SL120,CHEDDAR SLCS T10H5  SL120,7.99
2025-02-11,21133400902382502111700,BAYONNE,385892,SPICY PICKLE,64 OZ  SL365         P360,SPICY PICKLE 64 OZ  SL365         P360,7.79
2025-02-11,21133400902382502111700,BAYONNE,106173,CHKN SAUSAGE,12/3 LBS    9T5H    SL90,CHKN SAUSAGE 12/3 LBS    9T5H    SL90,14.99
2025-02-11,21133400902382502111700,BAYONNE,57554,BLUEBERRIES,510 G / 18 OZ,BLUEBERRIES 510 G / 18 OZ,4.99
2025-02-11,21133400902382502111700,BAYONNE,1363689,TURKEY BACON,COLUMBUS SL30 T6H5 P300,TURKEY BACON COLUMBUS SL30 T6H5 P300,14.99
2025-02-11,21133400902382502111700,BAYONNE,938492,KS KETTLE,PINK SALT P120 T40H3,KS KETTLE PINK SALT P120 T40H3,5.99
2025-02-11,21133400902382502111700,BAYONNE,6659,4LB HONYCRSP,,,9.99
2025-02-11,21133400902382502111700,BAYONNE,421793,KS STRAWPRES,STRAWBERRY  SL270    P576,KS STRAWPRES STRAWBERRY  SL270    P576,7.99
2025-02-11,21133400902382502111700,BAYONNE,1462714,KS ORG A2 PR,3/64OZ SL30 33X4 P132,KS ORG A2 PR 3/64OZ SL30 33X4 P132,13.59
2025-02-11,21133400902382502111700,BAYONNE,1830455,KS BAGUETTE,,,4.99
2025-02-11,21133400902382502111700,BAYONNE,1267000,KS SALMON,SL30 CHILEAN SLMN 10X5,KS SALMON SL30 CHILEAN SLMN 10X5,23.99
2025-02-11,21133400902382502111700,BAYONNE,7552,WILD ALBACOR,SL360           P528,WILD ALBACOR SL360           P528,15.99
2024-11-24,21133400702592411241556,BAYONNE,202193,MINI PEPPERS,680 G / 1.5 LB,MINI PEPPERS 680 G / 1.5 LB,3.99
2024-11-24,21133400702592411241556,BAYONNE,1068080,PASTURE EGGS,2DZ GRADE A P360/300 SL22,PASTURE EGGS 2DZ GRADE A P360/300 SL22,8.49
2024-11-24,21133400702592411241556,BAYONNE,545345,KS PISTACHIO,C13T6H4 P312 SL300,KS PISTACHIO C13T6H4 P312 SL300,13.99
2024-11-24,21133400702592411241556,BAYONNE,384962,KS U/S QTRS,SL90,KS U/S QTRS SL90,13.99
2024-11-24,21133400702592411241556,BAYONNE,720650,MINI CUKES,680 G / 1.5 LB,MINI CUKES 680 G / 1.5 LB,6.99
2024-11-24,21133400702592411241556,BAYONNE,1830455,KS BAGUETTE,,,4.99
2024-11-24,21133400702592411241556,BAYONNE,1011378,CHICK PEAS,P240 .,CHICK PEAS P240 .,7.99
2024-11-24,21133400702592411241556,BAYONNE,340443,/BEANS,,,0.0
2024-11-24,21133400702592411241556,BAYONNE,47825,GREEN GRAPES,1.36 KG / 3 LB,GREEN GRAPES 1.36 KG / 3 LB,6.99
2024-11-24,21133400702592411241556,BAYONNE,6659,4LB HONYCRSP,,,8.99
2024-11-24,21133400702592411241556,BAYONNE,1364689,KS ORG WH MK,3/64 SL30 T33H4 P132,KS ORG WH MK 3/64 SL30 T33H4 P132,10.47
2024-11-24,21133400702592411241556,BAYONNE,21046,TOMATO MEDLE,,,6.59
2024-11-24,21133400702592411241556,BAYONNE,25551,SHRIMP 21/25,TAIL ON             6T 6H,SHRIMP 21/25 TAIL ON             6T 6H,13.99
2023-11-25,21133400701912311251328,BAYONNE,6659,4LB HONYCRSP,,,5.99
2023-11-25,21133400701912311251328,BAYONNE,568915,ORG CUCUMBER,,,5.99
2023-11-25,21133400701912311251328,BAYONNE,21046,TOMATO MEDLE,,,6.59
2023-11-25,21133400701912311251328,BAYONNE,7445,10LB BAKERS,4.5KG / 10 LB,10LB BAKERS 4.5KG / 10 LB,5.99
2023-11-25,21133400701912311251328,BAYONNE,1273361,KS CHSE VRTY,8/29OZ 6T3H 120SL,KS CHSE VRTY 8/29OZ 6T3H 120SL,24.99
2023-11-25,21133400701912311251328,BAYONNE,1258564,BEEFSTICKS,P360 T6H4 28/.5OX SL300,BEEFSTICKS P360 T6H4 28/.5OX SL300,16.79
2023-11-25,21133400701912311251328,BAYONNE,9440,COCONUT MILK,THAI KITCHEN (32X10) P320,COCONUT MILK THAI KITCHEN (32X10) P320,10.99
2023-11-25,21133400701912311251328,BAYONNE,36886,ORGANIC GT,,,19.99
2023-11-25,21133400701912311251328,BAYONNE,27003,STRAWBERRIES,908 G / 2 LB,STRAWBERRIES 908 G / 2 LB,5.49
2023-11-25,21133400701912311251328,BAYONNE,38742,SWEET CORN,8 PACK,SWEET CORN 8 PACK,6.99
2023-11-25,21133400701912311251328,BAYONNE,2619,ORG BANANAS,3 LB / 1.36 KG,ORG BANANAS 3 LB / 1.36 KG,1.99
2023-11-25,21133400701912311251328,BAYONNE,1391546,BAGEL CHIPS,SCHWARTZ 425G P324 SL90,BAGEL CHIPS SCHWARTZ 425G P324 SL90,7.99
2023-11-25,21133400701912311251328,BAYONNE,1487910,CRANJALAMEAT,12/46 OZ  6T6H  SL32,CRANJALAMEAT 12/46 OZ  6T6H  SL32,14.89
2023-11-25,21133400701912311251328,BAYONNE,315406,/1487910,,,0.0
2023-11-25,21133400701912311251328,BAYONNE,1157210,ORG CACAO,24OZ BAG    P288,ORG CACAO 24OZ BAG    P288,7.49
2023-11-25,21133400701912311251328,BAYONNE,60357,MIXED PEPPER,6-PACK,MIXED PEPPER 6-PACK,6.69
2023-11-25,21133400701912311251328,BAYONNE,1343114,CHOC CAKE,WITH CHOCOLATE MOUSSE,CHOC CAKE WITH CHOCOLATE MOUSSE,15.99
2024-11-30,21133400903722411301556,BAYONNE,5623,BROCCOLI,1.36 KG / 3 LB,BROCCOLI 1.36 KG / 3 LB,6.99
2024-11-30,21133400903722411301556,BAYONNE,57554,BLUEBERRIES,510 G / 18 OZ,BLUEBERRIES 510 G / 18 OZ,6.49
2024-11-30,21133400903722411301556,BAYONNE,516822,KS ORG STOCK,KS ORGANIC   SL292   P150,KS ORG STOCK KS ORGANIC   SL292   P150,8.99
2024-11-30,21133400903722411301556,BAYONNE,8258,ASIAN CASHEW,2PK,ASIAN CASHEW 2PK,6.99
2024-11-30,21133400903722411301556,BAYONNE,720650,MINI CUKES,680 G / 1.5 LB,MINI CUKES 680 G / 1.5 LB,6.99
2024-11-30,21133400903722411301556,BAYONNE,1068080,PASTURE EGGS,2DZ GRADE A P360/300 SL22,PASTURE EGGS 2DZ GRADE A P360/300 SL22,8.49
2024-11-30,21133400903722411301556,BAYONNE,1364689,KS ORG WH MK,3/64 SL30 T33H4 P132,KS ORG WH MK 3/64 SL30 T33H4 P132,10.47
2024-11-30,21133400903722411301556,BAYONNE,993449,ORGANIC PSTA,ORGANIC PASTA SL365  P144,ORGANIC PSTA ORGANIC PASTA SL365  P144,9.59
2024-11-30,21133400903722411301556,BAYONNE,1199652,BUTER CROISS,,,5.99
2024-11-30,21133400903722411301556,BAYONNE,18600,MANDARINS,2.27 KG / 5 LBS,MANDARINS 2.27 KG / 5 LBS,6.49
2024-11-30,21133400903722411301556,BAYONNE,703381,CHEDDAR SLCS,T10H5  SL120,CHEDDAR SLCS T10H5  SL120,7.99
2025-05-12,21133400703662505121619,BAYONNE,6659,4LB HONYCRSP,,,11.99
2025-05-12,21133400703662505121619,BAYONNE,60357,MIXED PEPPER,6-PACK,MIXED PEPPER 6-PACK,6.99
2025-05-12,21133400703662505121619,BAYONNE,22995,ORGANIC DRUM,SADDLEPACK,ORGANIC DRUM SADDLEPACK,1.99
2025-05-12,21133400703662505121619,BAYONNE,27003,STRAWBERRIES,908 G / 2 LB,STRAWBERRIES 908 G / 2 LB,4.99
2025-05-12,21133400703662505121619,BAYONNE,96716,ORG SPINACH,453 G / 16 OZ,ORG SPINACH 453 G / 16 OZ,4.49
2025-05-12,21133400703662505121619,BAYONNE,260509,POLYO STRCHZ,10/48Z P450 T9H5     SL45,POLYO STRCHZ 10/48Z P450 T9H5     SL45,11.79
2025-05-12,21133400703662505121619,BAYONNE,1199652,BUTER CROISS,,,5.99
2025-05-12,21133400703662505121619,BAYONNE,720650,MINI CUKES,680 G / 1.5 LB,MINI CUKES 680 G / 1.5 LB,5.99
2025-05-12,21133400703662505121619,BAYONNE,21046,TOMATO MEDLE,,,6.59
2025-05-12,21133400703662505121619,BAYONNE,703381,CHEDDAR SLCS,T10H5  SL120,CHEDDAR SLCS T10H5  SL120,7.99
2025-02-05,21133400802862502051506,BAYONNE,1830455,KS BAGUETTE,,,4.99
2025-02-05,21133400802862502051506,BAYONNE,1827786,CHPTLE RANCH,CHOP SALAD KIT,CHPTLE RANCH CHOP SALAD KIT,7.99
2025-02-05,21133400802862502051506,BAYONNE,2534,CHERRIES,907 G / 2 LB,CHERRIES 907 G / 2 LB,9.99
2025-02-05,21133400802862502051506,BAYONNE,1462040,KS ARG SHRMP,CA 608G US 908G 6X6 P576,KS ARG SHRMP CA 608G US 908G 6X6 P576,21.49
2025-02-05,21133400802862502051506,BAYONNE,5623,BROCCOLI,1.36 KG / 3 LB,BROCCOLI 1.36 KG / 3 LB,6.99
2025-02-05,21133400802862502051506,BAYONNE,34323,BEEF RIBEYE,BONELESS  USDA PRIME,BEEF RIBEYE BONELESS  USDA PRIME,22.29
2025-02-05,21133400802862502051506,BAYONNE,1364698,KS ORG 2% MK,3/64 SL30 T33H4 P132,KS ORG 2% MK 3/64 SL30 T33H4 P132,10.47
2025-02-05,21133400802862502051506,BAYONNE,7367,LOLLIPEPPERS,680 G / 1.5 LB,LOLLIPEPPERS 680 G / 1.5 LB,5.99
2025-02-05,21133400802862502051506,BAYONNE,1172471,IRISH BUTTER,C15 T9H5 P675  SL90,IRISH BUTTER C15 T9H5 P675  SL90,15.49
2025-02-05,21133400802862502051506,BAYONNE,1072687,PURE VANILLA,473ML C24 L192 P960/1152,PURE VANILLA 473ML C24 L192 P960/1152,9.99
2025-02-05,21133400802862502051506,BAYONNE,637598,KS CAGE FREE,SL21 T20H18 P360/P300,KS CAGE FREE SL21 T20H18 P360/P300,8.49
2025-02-05,21133400802862502051506,BAYONNE,6659,4LB HONYCRSP,,,10.99
2025-02-05,21133400802862502051506,BAYONNE,720650,MINI CUKES,680 G / 1.5 LB,MINI CUKES 680 G / 1.5 LB,6.99
2025-02-05,21133400802862502051506,BAYONNE,21046,TOMATO MEDLE,,,6.59
2025-02-05,21133400802862502051506,BAYONNE,22995,ORGANIC DRUM,SADDLEPACK,ORGANIC DRUM SADDLEPACK,1.99
2025-02-05,21133400802862502051506,BAYONNE,8370,ORG MEDITERR,2PK,ORG MEDITERR 2PK,8.99
2025-02-05,21133400802862502051506,BAYONNE,164950,KS PEPPRCORN,WHOLE 399G C20P1080,KS PEPPRCORN WHOLE 399G C20P1080,6.69
2025-02-22,21133400804082502221606,BAYONNE,8370,ORG MEDITERR,2PK,ORG MEDITERR 2PK,8.99
2025-02-22,21133400804082502221606,BAYONNE,1710454,KEW MAYO,T10H5  SL 270  P800,KEW MAYO T10H5  SL 270  P800,6.49
2025-02-22,21133400804082502221606,BAYONNE,1721762,MEYERS SOAP,HAND SOAP SET P210,MEYERS SOAP HAND SOAP SET P210,17.99
2025-02-22,21133400804082502221606,BAYONNE,5276,RED GRAPES,1.36 KG / 3 LB,RED GRAPES 1.36 KG / 3 LB,6.89
2025-02-22,21133400804082502221606,BAYONNE,7367,LOLLIPEPPERS,680 G / 1.5 LB,LOLLIPEPPERS 680 G / 1.5 LB,5.99
2025-02-22,21133400804082502221606,BAYONNE,1462714,KS ORG A2 PR,3/64OZ SL30 33X4 P132,KS ORG A2 PR 3/64OZ SL30 33X4 P132,13.59
2025-02-22,21133400804082502221606,BAYONNE,637598,KS CAGE FREE,SL21 T20H18 P360/P300,KS CAGE FREE SL21 T20H18 P360/P300,8.49
2025-02-22,21133400804082502221606,BAYONNE,331100,POTATOES,2.27 KG / 5 LB,POTATOES 2.27 KG / 5 LB,7.99
2025-02-22,21133400804082502221606,BAYONNE,19452,ORG CHKTENDR,TENDERLOIN SADDLEPACK,ORG CHKTENDR TENDERLOIN SADDLEPACK,5.99
2025-02-22,21133400804082502221606,BAYONNE,6659,4LB HONYCRSP,,,9.99
2025-02-22,21133400804082502221606,BAYONNE,1258564,BEEFSTICKS,P360 T6H4 28/.5OX SL300,BEEFSTICKS P360 T6H4 28/.5OX SL300,16.79
2025-02-22,21133400804082502221606,BAYONNE,349053,/ 1258564,,,0.0
2025-02-22,21133400804082502221606,BAYONNE,1462040,KS ARG SHRMP,CA 608G US 908G 6X6 P576,KS ARG SHRMP CA 608G US 908G 6X6 P576,21.49
2025-02-22,21133400804082502221606,BAYONNE,1391546,BAGEL CHIPS,SCHWARTZ 425G P324 SL90,BAGEL CHIPS SCHWARTZ 425G P324 SL90,7.99
2025-02-22,21133400804082502221606,BAYONNE,348489,/ 1391546,,,0.0
2025-02-22,21133400804082502221606,BAYONNE,5623,BROCCOLI,1.36 KG / 3 LB,BROCCOLI 1.36 KG / 3 LB,6.99
2025-02-22,21133400804082502221606,BAYONNE,38742,SWEET CORN,8 PACK,SWEET CORN 8 PACK,6.99
2025-02-22,21133400804082502221606,BAYONNE,1830455,KS BAGUETTE,,,4.99
2025-02-22,21133400804082502221606,BAYONNE,7812,YELLOW ONION,5 LBS,YELLOW ONION 5 LBS,3.99
2025-02-22,21133400804082502221606,BAYONNE,720650,MINI CUKES,680 G / 1.5 LB,MINI CUKES 680 G / 1.5 LB,6.99
2025-02-22,21133400804082502221606,BAYONNE,96716,ORG SPINACH,453 G / 16 OZ,ORG SPINACH 453 G / 16 OZ,4.49
2025-02-22,21133400804082502221606,BAYONNE,7552,WILD ALBACOR,SL360           P528,WILD ALBACOR SL360           P528,15.99
2025-04-05,21133401002152504051244,BAYONNE,45579,CANDY HEART,1.36 KG / 3 LB,CANDY HEART 1.36 KG / 3 LB,6.99
2025-04-05,21133401002152504051244,BAYONNE,1451835,ANDOUILLE SG,CKN SSG 12/40Z 8T7H SL32,ANDOUILLE SG CKN SSG 12/40Z 8T7H SL32,14.99
2025-04-05,21133401002152504051244,BAYONNE,1462714,KS ORG A2 PR,3/64OZ SL30 33X4 P132,KS ORG A2 PR 3/64OZ SL30 33X4 P132,10.76
2025-04-05,21133401002152504051244,BAYONNE,1280655,ORG CSR KIT,,,8.99
2025-04-05,21133401002152504051244,BAYONNE,22967,ORGNC BS THG,FRESH SADDLEPACK,ORGNC BS THG FRESH SADDLEPACK,5.99
2025-04-05,21133401002152504051244,BAYONNE,5623,BROCCOLI,1.36 KG / 3 LB,BROCCOLI 1.36 KG / 3 LB,6.99
2025-04-05,21133401002152504051244,BAYONNE,720650,MINI CUKES,680 G / 1.5 LB,MINI CUKES 680 G / 1.5 LB,5.99
2025-04-05,21133401002152504051244,BAYONNE,1199652,BUTER CROISS,,,5.99
2025-04-05,21133401002152504051244,BAYONNE,518161,BAR SPAGHETI,P=224   T28H8,BAR SPAGHETI P=224   T28H8,9.99
2025-04-05,21133401002152504051244,BAYONNE,1891634,SALMON BITES,CS9 T6H6 SL28,SALMON BITES CS9 T6H6 SL28,15.99
2025-04-05,21133401002152504051244,BAYONNE,1830455,KS BAGUETTE,,,4.99
2025-04-05,21133401002152504051244,BAYONNE,21046,TOMATO MEDLE,,,6.59
2025-04-05,21133401002152504051244,BAYONNE,1497720,PLANET OAT,OATMILK C6T9H5 P270 SL50,PLANET OAT OATMILK C6T9H5 P270 SL50,4.99
2025-04-05,21133401002152504051244,BAYONNE,842994,ORG MANGOS,,,8.99
2025-04-05,21133401002152504051244,BAYONNE,6659,4LB HONYCRSP,,,8.99
2025-04-05,21133401002152504051244,BAYONNE,2619,ORG BANANAS,3 LB / 1.36 KG,ORG BANANAS 3 LB / 1.36 KG,2.19
2025-04-05,21133401002152504051244,BAYONNE,47292,SOCK SALMON,FILLET PREVIOUSLY FROZEN,SOCK SALMON FILLET PREVIOUSLY FROZEN,12.99
2025-04-05,21133401002152504051244,BAYONNE,1068080,PASTURE EGGS,2DZ GRADE A P360/300 SL22,PASTURE EGGS 2DZ GRADE A P360/300 SL22,8.79
2025-04-05,21133401002152504051244,BAYONNE,61576,SWEET POTATO,5 LBS,SWEET POTATO 5 LBS,4.89
2025-04-05,21133401002152504051244,BAYONNE,1915062,BUTTERBEER,HARRY POTTER P96 SL110,BUTTERBEER HARRY POTTER P96 SL110,6.49
2024-03-18,21133400502552403181444,BAYONNE,2619,ORG BANANAS,3 LB / 1.36 KG,ORG BANANAS 3 LB / 1.36 KG,1.99
2024-03-18,21133400502552403181444,BAYONNE,8370,ORG MEDITERR,2PK,ORG MEDITERR 2PK,8.99
2024-03-18,21133400502552403181444,BAYONNE,1364689,KS ORG WH MK,3/64 SL30 T33H4 P132,KS ORG WH MK 3/64 SL30 T33H4 P132,11.99
2024-03-18,21133400502552403181444,BAYONNE,5850,SWEETKALEDUO,2 X 14 OZ,SWEETKALEDUO 2 X 14 OZ,6.99
2024-03-18,21133400502552403181444,BAYONNE,6659,4LB HONYCRSP,,,6.99
2024-03-18,21133400502552403181444,BAYONNE,568915,ORG CUCUMBER,,,5.99
2024-03-18,21133400502552403181444,BAYONNE,1391546,BAGEL CHIPS,SCHWARTZ 425G P324 SL90,BAGEL CHIPS SCHWARTZ 425G P324 SL90,7.99
2024-03-18,21133400502552403181444,BAYONNE,703381,CHEDDAR SLCS,T10H5  SL120,CHEDDAR SLCS T10H5  SL120,7.99
2024-03-18,21133400502552403181444,BAYONNE,27003,STRAWBERRIES,908 G / 2 LB,STRAWBERRIES 908 G / 2 LB,4.99
2024-03-18,21133400502552403181444,BAYONNE,427381,KS ORG EGGS,GRADE AA  P360/300  SL26,KS ORG EGGS GRADE AA  P360/300  SL26,7.59
2024-03-18,21133400502552403181444,BAYONNE,595006,TZATZIKI DIP,12/32 OZ   7T6H   SL50,TZATZIKI DIP 12/32 OZ   7T6H   SL50,7.89
2024-03-18,21133400502552403181444,BAYONNE,1267000,KS SALMON,SL30 CHILEAN SLMN 10X5,KS SALMON SL30 CHILEAN SLMN 10X5,23.99
2024-03-18,21133400502552403181444,BAYONNE,376052,KS CHOCALMND,T6H5  P360 SL292,KS CHOCALMND T6H5  P360 SL292,14.79
2023-07-31,21133400701202307311220,BAYONNE,595006,TZATZIKI DIP,12/32 OZ   7T6H   SL50,TZATZIKI DIP 12/32 OZ   7T6H   SL50,7.89
2023-07-31,21133400701202307311220,BAYONNE,1142830,ORG MEDITERR,,,8.49
